sector,trading_date,open,high,low,close,volume,year,month,date
Services & Real Estate,2020-07-20,32.6,33.03,32.5,32.73,7639.5,2020,07,20
Services & Real Estate,2020-07-21,32.58,33.58,32.58,33.28,91128.5,2020,07,21
Services & Real Estate,2020-07-22,33.23,34.03,32.88,33.65,82014.5,2020,07,22
Services & Real Estate,2020-07-23,33.75,34.58,33.6,34.25,93197.5,2020,07,23
Services & Real Estate,2020-07-26,34.3,35.0,33.65,34.33,63173.0,2020,07,26
Services & Real Estate,2020-07-27,34.38,34.55,33.68,34.18,137457.5,2020,07,27
Services & Real Estate,2020-07-28,34.05,35.3,34.03,34.7,1217833.75,2020,07,28
Services & Real Estate,2020-07-29,34.45,35.65,34.15,35.23,507150.5,2020,07,29
Services & Real Estate,2020-07-30,35.5,35.85,34.75,35.25,742954.75,2020,07,30
Telecommunication,2020-07-02,162.85,162.95,161.45,161.75,429588.5,2020,07,02
Telecommunication,2020-07-05,161.65,161.65,160.1,160.35,266540.5,2020,07,05
Telecommunication,2020-07-06,160.35,160.75,159.45,160.25,292087.5,2020,07,06
Telecommunication,2020-07-07,160.4,161.4,160.4,161.25,212443.0,2020,07,07
Telecommunication,2020-07-08,161.25,161.85,161.1,161.6,288009.5,2020,07,08
Telecommunication,2020-07-09,161.6,166.25,161.6,163.8,1148540.5,2020,07,09
Telecommunication,2020-07-12,164.4,169.0,163.55,168.35,856502.0,2020,07,12
Telecommunication,2020-07-13,168.5,169.6,165.35,165.85,756323.0,2020,07,13
Telecommunication,2020-07-14,166.2,168.25,165.35,167.15,598547.0,2020,07,14
Telecommunication,2020-07-15,169.15,171.3,167.45,168.7,638656.0,2020,07,15
Telecommunication,2020-07-16,171.75,171.75,166.65,167.15,455881.5,2020,07,16
Telecommunication,2020-07-19,167.55,168.55,164.0,165.65,493661.5,2020,07,19
Telecommunication,2020-07-20,166.0,170.0,165.5,168.85,508774.0,2020,07,20
Telecommunication,2020-07-21,168.95,171.15,168.4,169.6,448562.5,2020,07,21
Telecommunication,2020-07-22,169.8,170.85,169.0,169.85,504067.5,2020,07,22
Telecommunication,2020-07-23,169.8,173.1,168.5,171.15,583406.5,2020,07,23
Telecommunication,2020-07-26,171.4,176.05,171.0,175.45,562754.5,2020,07,26
Telecommunication,2020-07-27,176.35,179.6,172.55,175.85,824431.0,2020,07,27
Telecommunication,2020-07-28,176.0,177.5,174.05,174.9,663999.5,2020,07,28
Telecommunication,2020-07-29,175.5,176.65,173.85,175.5,418984.0,2020,07,29
Telecommunication,2020-07-30,176.3,182.35,176.0,181.3,1012318.5,2020,07,30
Engineering,2020-06-01,78.22,78.33,77.93,78.01,74144.78,2020,06,01
Engineering,2020-06-02,79.92,79.93,79.92,79.92,11765.39,2020,06,02
Engineering,2020-06-03,78.74,78.74,78.74,78.74,2552.61,2020,06,03
Engineering,2020-06-04,96.84,96.84,96.84,96.84,1409.46,2020,06,04
Engineering,2020-06-07,80.17,80.17,80.17,80.17,2896.94,2020,06,07
Engineering,2020-06-08,82.39,82.39,82.39,82.39,10556.0,2020,06,08
Engineering,2020-06-09,59.01,59.01,59.01,59.01,4064.39,2020,06,09
Engineering,2020-06-10,81.19,81.19,81.19,81.19,6736.2,2020,06,10
Engineering,2020-06-11,101.22,101.22,101.22,101.22,2935.28,2020,06,11
Engineering,2020-06-14,110.0,110.01,110.0,110.0,9624.22,2020,06,14
Engineering,2020-06-15,113.5,113.5,113.5,113.5,5327.39,2020,06,15
Engineering,2020-06-16,126.73,126.73,126.73,126.73,3428.83,2020,06,16
Engineering,2020-06-17,87.09,87.09,87.09,87.09,6806.5,2020,06,17
Engineering,2020-06-18,126.4,126.4,126.4,126.4,8473.95,2020,06,18
Engineering,2020-06-21,130.81,130.81,130.81,130.81,1969.26,2020,06,21
Engineering,2020-06-22,108.62,108.62,108.62,108.62,11271.68,2020,06,22
Engineering,2020-06-23,106.36,106.85,106.36,106.37,35641.06,2020,06,23
Engineering,2020-06-24,92.49,92.5,92.49,92.5,42461.48,2020,06,24
Engineering,2020-06-25,82.05,82.06,82.05,82.06,31699.34,2020,06,25
Engineering,2020-06-28,98.39,98.39,98.39,98.39,21369.28,2020,06,28
Engineering,2020-06-29,116.64,116.64,116.63,116.64,26693.46,2020,06,29
Engineering,2020-06-30,95.53,95.53,95.52,95.52,22169.88,2020,06,30
Fuel & Power,2020-06-01,165.99,167.75,165.62,166.38,108854.26,2020,06,01
Fuel & Power,2020-06-02,137.12,137.3,136.23,136.57,75894.78,2020,06,02
Fuel & Power,2020-06-03,178.02,178.45,177.86,178.23,49367.33,2020,06,03
Fuel & Power,2020-06-04,171.87,174.33,171.58,173.47,26661.74,2020,06,04
Fuel & Power,2020-06-07,176.83,178.03,176.82,177.68,66151.78,2020,06,07
Fuel & Power,2020-06-08,183.44,183.52,182.76,183.07,56647.89,2020,06,08
Fuel & Power,2020-06-09,180.63,180.72,180.11,180.29,41940.28,2020,06,09
Fuel & Power,2020-06-10,190.2,190.67,189.42,190.16,56257.59,2020,06,10
Fuel & Power,2020-06-11,173.44,174.78,173.31,174.14,36018.11,2020,06,11
Fuel & Power,2020-06-14,177.43,178.07,176.97,177.67,28307.5,2020,06,14
Fuel & Power,2020-06-15,186.08,188.04,185.93,187.25,49411.65,2020,06,15
Fuel & Power,2020-06-16,194.59,194.99,193.84,194.19,30133.12,2020,06,16
Fuel & Power,2020-06-17,204.38,209.33,204.38,208.76,19337.44,2020,06,17
Fuel & Power,2020-06-18,209.06,211.67,206.55,210.75,14839.27,2020,06,18
Fuel & Power,2020-06-21,196.58,201.15,195.4,199.76,15547.56,2020,06,21
Fuel & Power,2020-06-22,201.09,203.44,198.08,199.02,30199.71,2020,06,22
Fuel & Power,2020-06-23,199.01,200.7,197.76,198.32,21780.0,2020,06,23
Fuel & Power,2020-06-24,195.55,197.61,193.74,196.62,21027.12,2020,06,24
Fuel & Power,2020-06-25,187.43,188.37,185.37,185.89,55800.11,2020,06,25
Fuel & Power,2020-06-28,182.31,183.46,181.19,182.31,27218.79,2020,06,28
Fuel & Power,2020-06-29,182.45,183.47,181.37,181.87,18751.05,2020,06,29
Fuel & Power,2020-06-30,182.56,183.01,180.55,181.84,20754.84,2020,06,30
IT Sector,2020-06-01,28.49,28.49,28.47,28.47,8467.0,2020,06,01
IT Sector,2020-06-02,31.07,31.07,31.0,31.07,5074.9,2020,06,02
IT Sector,2020-06-03,25.19,25.19,25.19,25.19,15703.63,2020,06,03
IT Sector,2020-06-04,28.47,28.47,28.47,28.47,3570.56,2020,06,04
IT Sector,2020-06-07,34.58,34.58,34.58,34.58,2592.88,2020,06,07
IT Sector,2020-06-08,28.47,28.58,28.47,28.5,4358.78,2020,06,08
IT Sector,2020-06-09,28.35,28.35,28.35,28.35,25310.25,2020,06,09
IT Sector,2020-06-10,23.86,23.86,23.86,23.86,578.0,2020,06,10
IT Sector,2020-06-11,25.19,25.19,25.19,25.19,2907.13,2020,06,11
IT Sector,2020-06-14,29.58,29.58,29.58,29.58,5917.0,2020,06,14
IT Sector,2020-06-15,23.86,23.86,23.86,23.86,1762.0,2020,06,15
IT Sector,2020-06-16,25.42,25.42,25.42,25.42,1473.5,2020,06,16
IT Sector,2020-06-17,27.39,27.39,27.39,27.39,16414.29,2020,06,17
IT Sector,2020-06-18,21.65,21.65,21.65,21.65,7469.0,2020,06,18
IT Sector,2020-06-21,28.0,28.0,28.0,28.0,4463.67,2020,06,21
IT Sector,2020-06-22,20.95,20.95,20.95,20.95,281.25,2020,06,22
IT Sector,2020-06-23,28.57,28.57,28.57,28.57,4759.0,2020,06,23
IT Sector,2020-06-24,31.84,31.84,31.84,31.84,5803.0,2020,06,24
IT Sector,2020-06-25,30.1,30.1,30.1,30.1,5472.14,2020,06,25
IT Sector,2020-06-28,29.58,29.58,29.58,29.58,11021.13,2020,06,28
IT Sector,2020-06-29,28.47,28.47,28.47,28.47,1833.22,2020,06,29
IT Sector,2020-06-30,24.4,24.4,24.4,24.4,9365.67,2020,06,30
Services & Real Estate,2020-06-01,32.23,32.23,32.23,32.23,10016.5,2020,06,01
Services & Real Estate,2020-06-02,32.23,32.23,32.23,32.23,4642.5,2020,06,02
Services & Real Estate,2020-06-03,32.23,32.23,32.23,32.23,3145.5,2020,06,03
Services & Real Estate,2020-06-04,22.77,22.77,22.77,22.77,16051.67,2020,06,04
Services & Real Estate,2020-06-07,25.85,25.85,25.85,25.85,5276.5,2020,06,07
Services & Real Estate,2020-06-08,32.23,32.23,32.23,32.23,2750.25,2020,06,08
Services & Real Estate,2020-06-09,22.77,22.77,22.77,22.77,5126.33,2020,06,09
Services & Real Estate,2020-06-10,22.77,22.77,22.77,22.77,7697.33,2020,06,10
Services & Real Estate,2020-06-11,32.23,32.23,32.23,32.23,33988.25,2020,06,11
Services & Real Estate,2020-06-14,32.23,32.23,32.23,32.23,4245.25,2020,06,14
Services & Real Estate,2020-06-15,22.77,22.77,22.77,22.77,848.0,2020,06,15
Services & Real Estate,2020-06-16,32.23,32.23,32.23,32.23,5642.75,2020,06,16
Services & Real Estate,2020-06-17,22.77,22.77,22.77,22.77,7991.33,2020,06,17
Services & Real Estate,2020-06-18,32.23,32.23,32.23,32.23,13125.5,2020,06,18
Services & Real Estate,2020-06-21,32.23,32.23,32.23,32.23,2817.5,2020,06,21
Services & Real Estate,2020-06-22,32.23,32.23,32.23,32.23,3482.5,2020,06,22
Services & Real Estate,2020-06-23,32.23,32.23,32.23,32.23,3022.75,2020,06,23
Services & Real Estate,2020-06-24,37.43,37.43,37.43,37.43,4734.0,2020,06,24
Services & Real Estate,2020-06-25,32.23,32.23,32.23,32.23,2301.25,2020,06,25
Services & Real Estate,2020-06-28,32.23,32.23,32.23,32.23,5966.25,2020,06,28
Services & Real Estate,2020-06-29,32.23,32.23,32.23,32.23,11181.5,2020,06,29
Services & Real Estate,2020-06-30,37.43,37.43,37.43,37.43,5055.0,2020,06,30
Telecommunication,2020-06-01,169.25,173.25,161.15,162.35,393312.5,2020,06,01
Telecommunication,2020-06-02,163.0,164.95,158.3,159.25,312415.5,2020,06,02
Telecommunication,2020-06-03,159.25,160.65,158.2,158.4,221214.5,2020,06,03
Telecommunication,2020-06-04,158.3,159.85,158.15,158.7,165782.5,2020,06,04
Telecommunication,2020-06-07,158.7,159.65,158.15,158.25,253754.0,2020,06,07
Telecommunication,2020-06-08,158.2,159.0,158.15,158.15,184364.0,2020,06,08
Telecommunication,2020-06-09,158.15,158.4,158.15,158.2,117188.0,2020,06,09
Telecommunication,2020-06-10,158.2,158.35,158.15,158.2,129446.0,2020,06,10
Telecommunication,2020-06-11,158.2,158.75,158.15,158.45,103960.0,2020,06,11
Telecommunication,2020-06-14,158.45,159.4,158.45,159.2,250885.5,2020,06,14
Telecommunication,2020-06-15,159.15,159.6,158.7,158.8,167419.5,2020,06,15
Telecommunication,2020-06-16,158.55,158.75,158.3,158.55,73929.5,2020,06,16
Telecommunication,2020-06-17,158.55,158.9,158.35,158.45,81391.5,2020,06,17
Telecommunication,2020-06-18,158.35,158.7,158.25,158.35,91133.5,2020,06,18
Telecommunication,2020-06-21,158.35,158.7,158.2,158.6,121236.5,2020,06,21
Telecommunication,2020-06-22,158.65,158.65,158.3,158.4,106007.5,2020,06,22
Telecommunication,2020-06-23,158.4,158.9,158.4,158.6,265523.5,2020,06,23
Telecommunication,2020-06-24,158.85,159.25,158.65,159.1,165932.5,2020,06,24
Telecommunication,2020-06-25,159.15,159.25,158.85,159.15,198917.5,2020,06,25
Telecommunication,2020-06-28,159.4,160.05,159.25,159.95,317839.5,2020,06,28
Telecommunication,2020-06-29,159.95,161.4,159.95,161.2,446102.0,2020,06,29
Telecommunication,2020-06-30,161.25,163.15,161.25,162.75,544953.5,2020,06,30
Engineering,2020-03-01,102.38,102.65,97.85,99.06,619425.36,2020,03,01
Engineering,2020-03-02,99.63,101.36,97.73,99.66,605759.97,2020,03,02
Engineering,2020-03-03,100.33,102.13,97.45,98.49,760660.33,2020,03,03
Engineering,2020-03-04,100.5,102.35,98.71,99.41,612775.69,2020,03,04
Engineering,2020-03-05,99.21,103.44,98.2,101.71,481355.15,2020,03,05
Engineering,2020-03-08,102.71,104.89,98.26,99.28,481941.46,2020,03,08
Engineering,2020-03-09,96.98,98.28,89.11,90.17,593118.79,2020,03,09
Engineering,2020-03-10,93.83,97.38,90.88,96.07,393346.9,2020,03,10
Engineering,2020-03-11,98.1,101.18,96.61,99.97,499751.21,2020,03,11
Engineering,2020-03-12,100.05,101.59,95.95,97.86,416735.44,2020,03,12
Engineering,2020-03-15,96.56,98.15,89.98,94.85,430978.31,2020,03,15
Engineering,2020-03-16,94.11,95.79,88.63,89.63,433792.92,2020,03,16
Engineering,2020-03-18,91.68,93.21,83.08,84.41,427327.59,2020,03,18
Engineering,2020-03-19,94.57,94.61,94.51,94.55,12855.64,2020,03,19
Engineering,2020-03-22,94.46,95.16,93.49,94.2,58562.82,2020,03,22
Engineering,2020-03-23,94.17,95.08,93.69,93.93,163619.23,2020,03,23
Engineering,2020-03-24,93.83,93.96,93.42,93.55,31927.79,2020,03,24
Engineering,2020-03-25,93.55,93.84,93.47,93.67,32515.87,2020,03,25
Fuel & Power,2020-03-01,187.75,188.93,182.42,184.75,438038.0,2020,03,01
Fuel & Power,2020-03-02,185.69,188.51,183.97,186.09,530845.89,2020,03,02
Fuel & Power,2020-03-03,187.51,191.72,185.56,187.78,481573.47,2020,03,03
Fuel & Power,2020-03-04,189.4,190.84,185.47,186.53,500028.11,2020,03,04
