source_sheet,sector,trading_date,open,high,low,close,volume
DSE-2013,PHPMF1,2013-02-24,6.0,6.1,5.8,5.8,654000
DSE-2013,PHPMF1,2013-02-25,5.9,6.0,5.7,5.7,455500
DSE-2013,PHPMF1,2013-02-26,5.7,5.9,5.7,5.8,541500
DSE-2013,PHPMF1,2013-02-27,5.8,5.8,5.5,5.6,403000
DSE-2013,PHPMF1,2013-02-28,5.6,5.7,5.5,5.6,365500
DSE-2013,PHPMF1,2013-03-03,5.5,5.5,5.1,5.2,731500
DSE-2013,PHPMF1,2013-04-03,5.2,5.5,5.2,5.4,413000
DSE-2013,PHPMF1,2013-05-03,5.5,5.6,5.2,5.3,390500
DSE-2013,PHPMF1,2013-06-03,5.4,5.4,5.2,5.2,689500
DSE-2013,PHPMF1,2013-07-03,5.2,5.4,5.1,5.2,690000
DSE-2013,PHPMF1,2013-10-03,5.3,5.3,5.1,5.1,630000
DSE-2013,PHPMF1,2013-11-03,5.1,5.3,5.0,5.2,801500
DSE-2013,PHPMF1,2013-12-03,5.1,5.4,5.1,5.3,748000
DSE-2013,PHPMF1,2013-03-13,5.3,5.4,5.3,5.3,284000
DSE-2013,PHPMF1,2013-03-14,5.3,5.4,5.2,5.3,336500
DSE-2013,PHPMF1,2013-03-18,5.3,5.4,5.2,5.2,408500
DSE-2013,PHPMF1,2013-03-19,5.3,5.4,5.2,5.3,276000
DSE-2013,PHPMF1,2013-03-20,5.3,5.4,5.2,5.2,306000
DSE-2013,PHPMF1,2013-03-24,5.2,5.2,5.1,5.1,336000
DSE-2013,PHPMF1,2013-03-25,5.1,5.2,5.0,5.0,517000
DSE-2013,PHPMF1,2013-03-27,5.0,5.0,4.9,4.9,375000
DSE-2013,PHPMF1,2013-03-28,4.9,5.1,4.9,4.9,547500
DSE-2013,PHPMF1,2013-03-31,5.0,5.0,4.9,4.9,432500
DSE-2013,PHPMF1,2013-01-04,4.9,4.9,4.8,4.8,698000
DSE-2013,PHPMF1,2013-02-04,4.8,4.9,4.8,4.8,141500
DSE-2013,PHPMF1,2013-03-04,4.9,5.0,4.9,4.9,141500
DSE-2013,PHPMF1,2013-04-04,4.9,4.9,4.8,4.8,433000
DSE-2013,PHPMF1,2013-07-04,4.9,5.2,4.8,5.1,857000
DSE-2013,PHPMF1,2013-08-04,5.1,5.6,5.1,5.6,2156000
DSE-2013,PHPMF1,2013-09-04,5.7,6.0,5.5,5.6,1335000
DSE-2013,PHPMF1,2013-10-04,5.7,6.0,5.5,5.8,1740500
DSE-2013,PHPMF1,2013-11-04,5.8,6.0,5.7,5.7,963000
DSE-2013,PHPMF1,2013-04-15,5.9,5.9,5.7,5.7,918000
DSE-2013,PHPMF1,2013-04-16,5.7,5.7,5.2,5.2,1242500
DSE-2013,PHPMF1,2013-04-17,5.4,5.7,5.2,5.6,1668000
DSE-2013,PHPMF1,2013-04-18,5.8,6.0,5.8,5.8,2300000
DSE-2013,PHPMF1,2013-04-21,5.8,5.9,5.5,5.6,1205000
DSE-2013,PHPMF1,2013-04-22,5.6,5.8,5.4,5.6,1045500
DSE-2013,PHPMF1,2013-04-23,5.7,5.8,5.6,5.6,637000
DSE-2013,PHPMF1,2013-04-24,5.8,5.8,5.5,5.5,543500
DSE-2013,PHPMF1,2013-04-25,5.7,5.8,5.5,5.5,753500
DSE-2013,PHPMF1,2013-04-28,5.6,5.6,5.4,5.4,513000
DSE-2013,PHPMF1,2013-04-29,5.4,5.5,5.4,5.4,549500
DSE-2013,PHPMF1,2013-04-30,5.5,5.5,5.4,5.4,351500
DSE-2013,PHPMF1,2013-02-05,5.5,5.6,5.4,5.4,810000
DSE-2013,PHPMF1,2013-05-05,5.5,5.6,5.4,5.4,398000
DSE-2013,PHPMF1,2013-06-05,5.4,5.5,5.3,5.3,342500
DSE-2013,PHPMF1,2013-07-05,5.4,5.6,5.4,5.4,750000
DSE-2013,PHPMF1,2013-08-05,5.6,5.8,5.5,5.5,1334000
DSE-2013,PHPMF1,2013-09-05,5.6,5.8,5.5,5.7,976000
DSE-2013,PHPMF1,2013-12-05,5.8,6.0,5.7,5.9,1651000
DSE-2013,PHPMF1,2013-05-13,6.0,6.1,5.8,6.0,2221000
DSE-2013,PHPMF1,2013-05-14,6.1,6.6,6.1,6.5,2557500
DSE-2013,PHPMF1,2013-05-15,6.5,6.5,6.1,6.2,2039000
DSE-2013,PHPMF1,2013-05-16,6.2,6.6,6.2,6.5,2606000
DSE-2013,PHPMF1,2013-05-19,6.6,6.8,6.5,6.6,2702500
DSE-2013,PHPMF1,2013-05-20,6.7,6.7,6.4,6.4,2159000
DSE-2013,PHPMF1,2013-05-21,6.5,6.6,6.3,6.3,1923000
DSE-2013,PHPMF1,2013-05-22,6.3,6.5,6.2,6.2,1946000
DSE-2013,PHPMF1,2013-05-26,6.3,6.4,5.9,5.9,1091500
DSE-2013,PHPMF1,2013-05-27,6.0,6.3,6.0,6.1,941500
DSE-2013,PHPMF1,2013-05-28,6.3,6.5,6.2,6.4,3245000
DSE-2013,PHPMF1,2013-05-29,6.5,6.7,6.4,6.6,2882500
DSE-2013,PHPMF1,2013-05-30,6.7,6.8,6.6,6.7,2288000
DSE-2013,PHPMF1,2013-02-06,6.8,7.2,6.8,7.1,4206000
DSE-2013,PHPMF1,2013-03-06,7.1,7.3,6.9,7.0,3002000
DSE-2013,PHPMF1,2013-04-06,7.1,7.2,6.8,6.8,2261500
DSE-2013,PHPMF1,2013-05-06,6.9,7.1,6.8,6.9,2853000
DSE-2013,PHPMF1,2013-06-06,7.2,7.2,6.9,7.0,2902000
DSE-2013,PHPMF1,2013-09-06,7.3,7.5,6.9,6.9,2991500
DSE-2013,PHPMF1,2013-10-06,7.0,7.5,6.9,7.4,4172500
DSE-2013,PHPMF1,2013-11-06,7.6,7.6,7.2,7.2,2072500
DSE-2013,PHPMF1,2013-12-06,7.2,7.3,7.0,7.0,2113000
DSE-2013,PHPMF1,2013-06-13,7.0,7.2,6.9,7.1,1708500
DSE-2013,PHPMF1,2013-06-16,7.2,7.3,7.0,7.0,2623500
DSE-2013,PHPMF1,2013-06-17,7.1,7.4,7.0,7.2,3728000
DSE-2013,PHPMF1,2013-06-18,7.2,7.9,7.2,7.7,8510000
DSE-2013,PHPMF1,2013-06-19,7.6,8.0,7.5,7.5,4703000
DSE-2013,PHPMF1,2013-06-20,7.5,7.7,7.3,7.4,1926500
DSE-2013,PHPMF1,2013-06-23,7.3,7.5,7.1,7.1,1451500
DSE-2013,PHPMF1,2013-06-24,7.0,7.2,6.9,7.0,1447500
DSE-2013,PHPMF1,2013-06-26,7.1,7.3,7.1,7.1,1537500
DSE-2013,PHPMF1,2013-06-27,7.1,7.2,7.0,7.0,1300500
DSE-2013,PHPMF1,2013-06-30,7.0,7.0,6.7,6.8,809500
DSE-2013,PHPMF1,2013-02-07,7.0,7.4,7.0,7.3,1324500
DSE-2013,PHPMF1,2013-03-07,7.3,7.5,7.0,7.1,1528000
DSE-2013,PHPMF1,2013-04-07,7.2,7.3,7.0,7.1,1199500
DSE-2013,PHPMF1,2013-07-07,7.3,7.4,7.2,7.2,1453000
DSE-2013,PHPMF1,2013-08-07,7.4,7.4,7.0,7.1,1916500
DSE-2013,PHPMF1,2013-09-07,7.2,7.3,6.9,6.9,1634500
DSE-2013,PHPMF1,2013-10-07,6.9,7.2,6.9,7.0,1203000
DSE-2013,PHPMF1,2013-11-07,7.1,7.2,6.8,6.9,858500
DSE-2013,PHPMF1,2013-07-14,7.0,7.0,6.6,6.6,488000
DSE-2013,PHPMF1,2013-07-15,6.7,6.8,6.5,6.6,626000
DSE-2013,PHPMF1,2013-07-16,6.8,6.9,6.5,6.6,879000
DSE-2013,PHPMF1,2013-07-17,6.7,7.2,6.6,7.0,2424500
DSE-2013,PHPMF1,2013-07-18,7.1,7.1,6.5,6.7,2358000
DSE-2013,PHPMF1,2013-07-21,6.7,6.8,6.5,6.5,325000
DSE-2013,PHPMF1,2013-07-22,6.6,6.7,6.5,6.5,621500
DSE-2013,PHPMF1,2013-07-23,6.7,6.7,6.3,6.3,870000
DSE-2013,PHPMF1,2013-07-24,6.5,6.9,6.4,6.9,1144500
DSE-2013,PHPMF1,2013-07-25,7.4,7.5,6.7,6.8,1807500
DSE-2013,PHPMF1,2013-07-28,6.7,6.8,6.4,6.5,485000
DSE-2013,PHPMF1,2013-07-29,6.5,6.7,6.5,6.5,323500
DSE-2013,PHPMF1,2013-07-30,6.5,6.5,6.3,6.3,460500
DSE-2013,PHPMF1,2013-07-31,6.2,6.4,6.1,6.1,440000
DSE-2013,PHPMF1,2013-01-08,6.0,6.1,5.9,5.9,442000
DSE-2013,PHPMF1,2013-04-08,5.9,6.0,5.7,5.9,477500
